                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.33602,                0.38488,                0.91812,                 0.3814,                 0.3943,                 0.9291,                0.94874,                0.94794,                0.98006,                0.95289,                0.27105,                0.22688,                0.82924,                0.28337,                0.19241,                0.84087,             0.00047237,             0.00047237,             0.00047237
                     77,                 0.3404,                  0.389,                0.92228,                   0.39,                0.40524,                0.93545,                0.95853,                0.93766,                0.98327,                0.95004,                0.27599,                0.22594,                0.83555,                0.28834,                0.18405,                0.84083,             0.00047031,             0.00047031,             0.00047031
                     78,                0.33251,                0.38918,                 0.9117,                0.38611,                0.40981,                0.92359,                0.96698,                0.95009,                 0.9884,                0.95337,                0.27736,                0.22292,                0.84453,                0.29082,                 0.1758,                0.85057,             0.00046825,             0.00046825,             0.00046825
                     79,                0.33517,                0.39845,                0.92176,                 0.3819,                0.42292,                0.93269,                0.97443,                0.93003,                0.98653,                0.95607,                0.27376,                0.22595,                0.83565,                0.28306,                 0.1788,                0.84054,             0.00046619,             0.00046619,             0.00046619
                     80,                0.33824,                0.37695,                0.91863,                0.38325,                0.38182,                0.92808,                 0.9596,                0.89922,                0.97419,                0.94369,                0.26651,                0.23183,                0.82603,                0.27504,                0.21611,                0.83132,             0.00046413,             0.00046413,             0.00046413
                     81,                0.33957,                0.38757,                0.92071,                0.38627,                0.40531,                0.93245,                0.95734,                0.93568,                0.97302,                0.94244,                0.27629,                0.23526,                0.83159,                0.28845,                0.21916,                0.83914,             0.00046206,             0.00046206,             0.00046206
                     82,                 0.3372,                0.38086,                0.91478,                0.38102,                0.40155,                0.92455,                 0.9623,                0.94818,                0.98531,                0.95804,                0.26776,                0.21383,                0.83065,                0.27813,                0.16821,                 0.8347,                0.00046,                0.00046,                0.00046
                     83,                0.33585,                0.37684,                 0.9172,                0.37702,                0.38759,                0.92696,                0.94734,                0.94123,                0.97152,                0.94361,                0.26278,                0.23292,                0.83049,                0.28312,                0.20081,                0.83656,             0.00045794,             0.00045794,             0.00045794
                     84,                0.33607,                0.37505,                0.92058,                0.37837,                0.37962,                0.93242,                0.95921,                0.92658,                0.98444,                0.94996,                0.27078,                0.22226,                  0.833,                0.28193,                0.18426,                0.84038,             0.00045588,             0.00045588,             0.00045588
                     85,                 0.3307,                0.36845,                0.91709,                0.38172,                  0.383,                0.92775,                0.97298,                0.94491,                0.98625,                0.95457,                0.26242,                 0.2303,                0.82883,                0.27957,                0.17493,                0.83245,             0.00045381,             0.00045381,             0.00045381
